0.26995	0.03605	0.53605	1.03605	2.03606	3.03606
0.34194	0.02247	0.52247	1.02247	2.02247	3.02247
0.41392	0.00000	0.5000	1.0000	2.00000	3.00000
0.48591	0.06677	0.56677	1.06677	2.06677	3.06677
0.5579	0.05065	0.55065	1.05065	2.05065	3.05065
0.62988	0.03973	0.53973	1.03973	2.03973	3.03973
0.70187	0.10667	0.60667	1.10667	2.10667	3.10667
0.77386	0.16233	0.66233	1.16233	2.16233	3.16233
0.84584	0.21667	0.71667	1.21667	2.21667	3.21667
0.91783	0.21521	0.71521	1.21521	2.21521	3.21521
0.98982	0.25745	0.75745	1.25745	2.25745	3.25745
1.0618	0.33093	0.83093	1.33093	2.33093	3.33093
1.1338	0.34747	0.84747	1.34747	2.34747	3.34747
1.2058	0.33794	0.83794	1.33794	2.33794	3.33794
1.2778	0.34117	0.84117	1.34117	2.34117	3.34117
1.3498	0.3317	0.8317	1.3317	2.3317	3.3317
1.4217	0.36526	0.86526	1.36526	2.36526	3.36526
1.4937	0.35681	0.85681	1.35681	2.35681	3.35681
1.5657	0.33868	0.83868	1.33868	2.33868	3.33868
1.6377	0.32328	0.82328	1.32328	2.32328	3.32328
1.7097	0.3218	0.8218	1.3218	2.3218	3.3218
1.7817	0.30625	0.80625	1.30625	2.30625	3.30625
1.8537	0.33722	0.83722	1.33722	2.33722	3.33722
1.9256	0.28272	0.78272	1.28272	2.28272	3.28272
1.9976	0.28509	0.78509	1.28509	2.28509	3.28509
2.0696	0.27113	0.77113	1.27113	2.27113	3.27113
2.1416	0.26237	0.76237	1.26237	2.26237	3.26237
2.2136	0.27669	0.77669	1.27669	2.27669	3.27669
2.2856	0.36666	0.86666	1.36666	2.36666	3.36666
2.3576	0.55356	1.05356	1.55356	2.55356	3.55356
2.4296	0.95345	1.45345	1.95345	2.95345	3.95345
2.5015	1.6329	2.1329	2.6329	3.6329	4.6329
2.5735	2.4084	2.9084	3.4084	4.4084	5.4084
2.6455	3.2139	3.7139	4.2139	5.2139	6.2139
2.7175	3.8358	4.3358	4.8358	5.8358	6.8358
2.7895	4.3271	4.8271	5.3271	6.3271	7.3271
2.8615	4.6721	5.1721	5.6721	6.6721	7.6721
2.9335	4.7714	5.2714	5.7714	6.7714	7.7714
3.0054	4.7428	5.2428	5.7428	6.7428	7.7428
3.0774	4.513	5.013	5.513	6.513	7.513
3.1494	4.2947	4.7947	5.2947	6.2947	7.2947
3.2214	4.0193	4.5193	5.0193	6.0193	7.0193
